2026-04-09 22:04:25 | INFO     | hf_audio_baseline | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-09_22-04-25_hf_audio_baseline.log
2026-04-09 22:04:25 | INFO     | hf_audio_baseline | ============================================================
2026-04-09 22:04:25 | INFO     | hf_audio_baseline | Training: hf_audio_baseline
2026-04-09 22:04:25 | INFO     | hf_audio_baseline | Device: cuda
2026-04-09 22:04:25 | INFO     | hf_audio_baseline | Seed: 42
2026-04-09 22:04:25 | INFO     | hf_audio_baseline | Dry run: False
2026-04-09 22:04:25 | INFO     | hf_audio_baseline | Max samples: None
2026-04-09 22:04:25 | INFO     | hf_audio_baseline | Epochs: 30 | Batch: 32 | LR: 1.00e-04
2026-04-09 22:04:25 | INFO     | hf_audio_baseline | Prosodic: True
2026-04-09 22:04:25 | INFO     | hf_audio_baseline | ============================================================
2026-04-09 22:04:28 | INFO     | hf_audio_baseline | Dataset: 181168 samples
2026-04-09 22:11:54 | DEBUG    | hf_audio_baseline |   batch 3700 | loss 1.3296 | grad_norm 1.7768 | lr 1.72e-05 | GPU 0.06 GB
2026-04-09 22:11:59 | DEBUG    | hf_audio_baseline |   batch 3750 | loss 1.4236 | grad_norm 1.7707 | lr 1.76e-05 | GPU 0.06 GB
2026-04-09 22:12:05 | DEBUG    | hf_audio_baseline |   batch 3800 | loss 1.4012 | grad_norm 1.7724 | lr 1.79e-05 | GPU 0.08 GB
2026-04-09 22:12:10 | DEBUG    | hf_audio_baseline |   batch 3850 | loss 1.3487 | grad_norm 1.6911 | lr 1.83e-05 | GPU 0.07 GB
2026-04-09 22:12:16 | DEBUG    | hf_audio_baseline |   batch 3900 | loss 1.3845 | grad_norm 1.7350 | lr 1.86e-05 | GPU 0.07 GB
2026-04-09 22:12:21 | DEBUG    | hf_audio_baseline |   batch 3950 | loss 1.3341 | grad_norm 1.7023 | lr 1.90e-05 | GPU 0.06 GB
2026-04-09 22:12:26 | DEBUG    | hf_audio_baseline |   batch 4000 | loss 1.3748 | grad_norm 1.7821 | lr 1.93e-05 | GPU 0.07 GB
2026-04-09 22:12:32 | DEBUG    | hf_audio_baseline |   batch 4050 | loss 1.3357 | grad_norm 1.7656 | lr 1.97e-05 | GPU 0.07 GB
2026-04-09 22:12:37 | DEBUG    | hf_audio_baseline |   batch 4100 | loss 1.3485 | grad_norm 1.8100 | lr 2.01e-05 | GPU 0.08 GB
2026-04-09 22:12:43 | DEBUG    | hf_audio_baseline |   batch 4150 | loss 1.3327 | grad_norm 1.6983 | lr 2.04e-05 | GPU 0.07 GB
2026-04-09 22:12:48 | DEBUG    | hf_audio_baseline |   batch 4200 | loss 1.3678 | grad_norm 1.8302 | lr 2.08e-05 | GPU 0.07 GB
2026-04-09 22:12:54 | DEBUG    | hf_audio_baseline |   batch 4250 | loss 1.3663 | grad_norm 1.7609 | lr 2.12e-05 | GPU 0.06 GB
2026-04-09 22:12:59 | DEBUG    | hf_audio_baseline |   batch 4300 | loss 1.3113 | grad_norm 1.6592 | lr 2.16e-05 | GPU 0.07 GB
2026-04-09 22:13:04 | DEBUG    | hf_audio_baseline |   batch 4350 | loss 1.4113 | grad_norm 1.7969 | lr 2.19e-05 | GPU 0.08 GB
2026-04-09 22:13:09 | DEBUG    | hf_audio_baseline |   batch 4400 | loss 1.3380 | grad_norm 1.7256 | lr 2.23e-05 | GPU 0.07 GB
2026-04-09 22:13:15 | DEBUG    | hf_audio_baseline |   batch 4450 | loss 1.2816 | grad_norm 1.7311 | lr 2.27e-05 | GPU 0.08 GB
2026-04-09 22:13:21 | DEBUG    | hf_audio_baseline |   batch 4500 | loss 1.3159 | grad_norm 1.7268 | lr 2.31e-05 | GPU 0.07 GB
2026-04-09 22:13:26 | DEBUG    | hf_audio_baseline |   batch 4550 | loss 1.3882 | grad_norm 1.7406 | lr 2.35e-05 | GPU 0.06 GB
2026-04-09 22:13:31 | DEBUG    | hf_audio_baseline |   batch 4600 | loss 1.2175 | grad_norm 1.7099 | lr 2.39e-05 | GPU 0.06 GB
2026-04-09 22:13:37 | DEBUG    | hf_audio_baseline |   batch 4650 | loss 1.2836 | grad_norm 1.7156 | lr 2.43e-05 | GPU 0.07 GB
2026-04-09 22:13:42 | DEBUG    | hf_audio_baseline |   batch 4700 | loss 1.3506 | grad_norm 1.7528 | lr 2.47e-05 | GPU 0.07 GB
2026-04-09 22:13:47 | DEBUG    | hf_audio_baseline |   batch 4750 | loss 1.3587 | grad_norm 1.7378 | lr 2.51e-05 | GPU 0.06 GB
2026-04-09 22:13:53 | DEBUG    | hf_audio_baseline |   batch 4800 | loss 1.2790 | grad_norm 1.6787 | lr 2.55e-05 | GPU 0.07 GB
2026-04-09 22:13:58 | DEBUG    | hf_audio_baseline |   batch 4850 | loss 1.2046 | grad_norm 1.6928 | lr 2.59e-05 | GPU 0.07 GB
2026-04-09 22:14:04 | DEBUG    | hf_audio_baseline |   batch 4900 | loss 1.1947 | grad_norm 1.6885 | lr 2.63e-05 | GPU 0.07 GB
2026-04-09 22:14:09 | DEBUG    | hf_audio_baseline |   batch 4950 | loss 1.1421 | grad_norm 1.7084 | lr 2.68e-05 | GPU 0.06 GB
2026-04-09 22:14:15 | DEBUG    | hf_audio_baseline |   batch 5000 | loss 1.2513 | grad_norm 1.7475 | lr 2.72e-05 | GPU 0.06 GB
2026-04-09 22:14:20 | DEBUG    | hf_audio_baseline |   batch 5050 | loss 1.1916 | grad_norm 1.6385 | lr 2.76e-05 | GPU 0.06 GB
2026-04-09 22:16:24 | INFO     | hf_audio_baseline | Epoch 1/30 | train_loss 1.3604 | val_loss 1.1953 | train_UA 0.3052 | val_UA 0.4416 | val_F1 0.2642 | time 712.7s | ETA 20668.9s
2026-04-09 22:16:30 | DEBUG    | hf_audio_baseline |   batch 50 | loss 1.1562 | grad_norm 1.7898 | lr 2.84e-05 | GPU 0.07 GB
2026-04-09 22:16:35 | DEBUG    | hf_audio_baseline |   batch 100 | loss 1.1253 | grad_norm 1.8123 | lr 2.89e-05 | GPU 0.07 GB
2026-04-09 22:16:40 | DEBUG    | hf_audio_baseline |   batch 150 | loss 1.1477 | grad_norm 1.6831 | lr 2.93e-05 | GPU 0.06 GB
2026-04-09 22:16:45 | DEBUG    | hf_audio_baseline |   batch 200 | loss 1.2262 | grad_norm 1.8990 | lr 2.97e-05 | GPU 0.08 GB
2026-04-09 22:16:50 | DEBUG    | hf_audio_baseline |   batch 250 | loss 1.0606 | grad_norm 1.6776 | lr 3.02e-05 | GPU 0.06 GB
2026-04-09 22:16:55 | DEBUG    | hf_audio_baseline |   batch 300 | loss 1.0878 | grad_norm 1.7092 | lr 3.06e-05 | GPU 0.07 GB
2026-04-09 22:17:00 | DEBUG    | hf_audio_baseline |   batch 350 | loss 1.2102 | grad_norm 1.6743 | lr 3.11e-05 | GPU 0.08 GB
2026-04-09 22:17:05 | DEBUG    | hf_audio_baseline |   batch 400 | loss 1.0422 | grad_norm 1.6185 | lr 3.15e-05 | GPU 0.08 GB
2026-04-09 22:17:11 | DEBUG    | hf_audio_baseline |   batch 450 | loss 1.0882 | grad_norm 1.6118 | lr 3.19e-05 | GPU 0.08 GB
2026-04-09 22:17:16 | DEBUG    | hf_audio_baseline |   batch 500 | loss 1.0835 | grad_norm 1.7018 | lr 3.24e-05 | GPU 0.08 GB
2026-04-09 22:17:22 | DEBUG    | hf_audio_baseline |   batch 550 | loss 1.3710 | grad_norm 1.6752 | lr 3.28e-05 | GPU 0.07 GB
2026-04-09 22:17:27 | DEBUG    | hf_audio_baseline |   batch 600 | loss 1.1326 | grad_norm 1.6538 | lr 3.33e-05 | GPU 0.07 GB
2026-04-09 22:17:33 | DEBUG    | hf_audio_baseline |   batch 650 | loss 1.2286 | grad_norm 1.7138 | lr 3.38e-05 | GPU 0.07 GB
2026-04-09 22:17:38 | DEBUG    | hf_audio_baseline |   batch 700 | loss 1.0524 | grad_norm 1.7366 | lr 3.42e-05 | GPU 0.06 GB
2026-04-09 22:17:44 | DEBUG    | hf_audio_baseline |   batch 750 | loss 0.9949 | grad_norm 1.7526 | lr 3.47e-05 | GPU 0.08 GB
2026-04-09 22:17:49 | DEBUG    | hf_audio_baseline |   batch 800 | loss 1.1472 | grad_norm 1.8438 | lr 3.51e-05 | GPU 0.08 GB
2026-04-09 22:17:54 | DEBUG    | hf_audio_baseline |   batch 850 | loss 1.0607 | grad_norm 1.5828 | lr 3.56e-05 | GPU 0.07 GB
2026-04-09 22:17:59 | DEBUG    | hf_audio_baseline |   batch 900 | loss 1.1335 | grad_norm 1.6332 | lr 3.61e-05 | GPU 0.07 GB
2026-04-09 22:18:05 | DEBUG    | hf_audio_baseline |   batch 950 | loss 1.2259 | grad_norm 1.6646 | lr 3.65e-05 | GPU 0.07 GB
2026-04-09 22:18:10 | DEBUG    | hf_audio_baseline |   batch 1000 | loss 1.2201 | grad_norm 1.7248 | lr 3.70e-05 | GPU 0.06 GB
2026-04-09 22:18:16 | DEBUG    | hf_audio_baseline |   batch 1050 | loss 1.3220 | grad_norm 1.5201 | lr 3.75e-05 | GPU 0.07 GB
2026-04-09 22:18:21 | DEBUG    | hf_audio_baseline |   batch 1100 | loss 1.1987 | grad_norm 1.5858 | lr 3.79e-05 | GPU 0.07 GB
2026-04-09 22:18:27 | DEBUG    | hf_audio_baseline |   batch 1150 | loss 1.4095 | grad_norm 1.5852 | lr 3.84e-05 | GPU 0.07 GB
