2026-04-10 17:18:04 | DEBUG    | hf_rubert_baseline |   batch 2700 | loss 0.9447 | lr 1.07e-05 | GPU 2.88 GB
2026-04-10 17:18:09 | DEBUG    | hf_rubert_baseline |   batch 2750 | loss 1.1233 | lr 1.08e-05 | GPU 2.87 GB
2026-04-10 17:18:14 | DEBUG    | hf_rubert_baseline |   batch 2800 | loss 0.8255 | lr 1.09e-05 | GPU 2.87 GB
2026-04-10 17:18:19 | DEBUG    | hf_rubert_baseline |   batch 2850 | loss 0.6900 | lr 1.10e-05 | GPU 2.87 GB
2026-04-10 17:18:23 | DEBUG    | hf_rubert_baseline |   batch 2900 | loss 0.7652 | lr 1.11e-05 | GPU 2.88 GB
2026-04-10 17:18:28 | DEBUG    | hf_rubert_baseline |   batch 2950 | loss 0.6759 | lr 1.12e-05 | GPU 2.88 GB
2026-04-10 17:18:33 | DEBUG    | hf_rubert_baseline |   batch 3000 | loss 1.3064 | lr 1.13e-05 | GPU 2.88 GB
2026-04-10 17:18:38 | DEBUG    | hf_rubert_baseline |   batch 3050 | loss 1.0977 | lr 1.14e-05 | GPU 2.88 GB
2026-04-10 17:18:43 | DEBUG    | hf_rubert_baseline |   batch 3100 | loss 1.1877 | lr 1.15e-05 | GPU 2.87 GB
2026-04-10 17:18:48 | DEBUG    | hf_rubert_baseline |   batch 3150 | loss 0.6934 | lr 1.16e-05 | GPU 2.88 GB
2026-04-10 17:18:52 | DEBUG    | hf_rubert_baseline |   batch 3200 | loss 0.8211 | lr 1.17e-05 | GPU 2.88 GB
2026-04-10 17:18:57 | DEBUG    | hf_rubert_baseline |   batch 3250 | loss 1.0840 | lr 1.18e-05 | GPU 2.88 GB
2026-04-10 17:19:02 | DEBUG    | hf_rubert_baseline |   batch 3300 | loss 0.7729 | lr 1.19e-05 | GPU 2.87 GB
2026-04-10 17:19:06 | DEBUG    | hf_rubert_baseline |   batch 3350 | loss 1.0269 | lr 1.20e-05 | GPU 2.88 GB
2026-04-10 17:19:11 | DEBUG    | hf_rubert_baseline |   batch 3400 | loss 0.9993 | lr 1.21e-05 | GPU 2.88 GB
2026-04-10 17:19:16 | DEBUG    | hf_rubert_baseline |   batch 3450 | loss 0.7585 | lr 1.22e-05 | GPU 2.88 GB
2026-04-10 17:19:21 | DEBUG    | hf_rubert_baseline |   batch 3500 | loss 1.0287 | lr 1.23e-05 | GPU 2.88 GB
2026-04-10 17:19:25 | DEBUG    | hf_rubert_baseline |   batch 3550 | loss 1.3550 | lr 1.24e-05 | GPU 2.88 GB
2026-04-10 17:19:30 | DEBUG    | hf_rubert_baseline |   batch 3600 | loss 1.0738 | lr 1.25e-05 | GPU 2.87 GB
2026-04-10 17:19:35 | DEBUG    | hf_rubert_baseline |   batch 3650 | loss 0.9398 | lr 1.26e-05 | GPU 2.88 GB
2026-04-10 17:19:40 | DEBUG    | hf_rubert_baseline |   batch 3700 | loss 1.1440 | lr 1.27e-05 | GPU 2.88 GB
2026-04-10 17:19:44 | DEBUG    | hf_rubert_baseline |   batch 3750 | loss 0.7097 | lr 1.28e-05 | GPU 2.87 GB
2026-04-10 17:19:49 | DEBUG    | hf_rubert_baseline |   batch 3800 | loss 0.8864 | lr 1.29e-05 | GPU 2.88 GB
2026-04-10 17:19:54 | DEBUG    | hf_rubert_baseline |   batch 3850 | loss 0.9678 | lr 1.30e-05 | GPU 2.89 GB
2026-04-10 17:19:59 | DEBUG    | hf_rubert_baseline |   batch 3900 | loss 0.8830 | lr 1.31e-05 | GPU 2.88 GB
2026-04-10 17:20:03 | DEBUG    | hf_rubert_baseline |   batch 3950 | loss 0.8509 | lr 1.32e-05 | GPU 2.88 GB
2026-04-10 17:20:08 | DEBUG    | hf_rubert_baseline |   batch 4000 | loss 0.8777 | lr 1.33e-05 | GPU 2.88 GB
2026-04-10 17:20:13 | DEBUG    | hf_rubert_baseline |   batch 4050 | loss 0.9257 | lr 1.34e-05 | GPU 2.88 GB
2026-04-10 17:20:18 | DEBUG    | hf_rubert_baseline |   batch 4100 | loss 0.7495 | lr 1.35e-05 | GPU 2.88 GB
2026-04-10 17:20:22 | DEBUG    | hf_rubert_baseline |   batch 4150 | loss 1.0086 | lr 1.36e-05 | GPU 2.87 GB
2026-04-10 17:20:27 | DEBUG    | hf_rubert_baseline |   batch 4200 | loss 0.9883 | lr 1.37e-05 | GPU 2.88 GB
2026-04-10 17:20:32 | DEBUG    | hf_rubert_baseline |   batch 4250 | loss 1.0027 | lr 1.38e-05 | GPU 2.88 GB
2026-04-10 17:20:37 | DEBUG    | hf_rubert_baseline |   batch 4300 | loss 1.2992 | lr 1.39e-05 | GPU 2.88 GB
