2026-04-11 17:52:35 | INFO     | coda_uniattn | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-11_17-52-35_coda_uniattn.log
2026-04-11 17:52:35 | INFO     | coda_uniattn | ============================================================
2026-04-11 17:52:35 | INFO     | coda_uniattn | Training: CODA-UNIATTN
2026-04-11 17:52:35 | INFO     | coda_uniattn | Device: cuda | Seed: 42 | Dry run: False
2026-04-11 17:52:35 | INFO     | coda_uniattn | Epochs: 30 | Batch: 16 | LR: 1.00e-04
2026-04-11 17:52:35 | INFO     | coda_uniattn | Freeze BERT: True | Prosodic: True | AMP: True
2026-04-11 17:52:35 | INFO     | coda_uniattn | ============================================================
2026-04-11 17:52:39 | INFO     | coda_uniattn | Dataset: 179590 samples
2026-04-11 17:57:53 | DEBUG    | coda_uniattn |   batch 6000 | loss 0.9464 | grad 2.1815 | lr 1.32e-05 | GPU 0.77 GB
2026-04-11 17:57:54 | DEBUG    | coda_uniattn |   batch 6050 | loss 0.8020 | grad 2.1947 | lr 1.34e-05 | GPU 0.77 GB
2026-04-11 17:57:56 | DEBUG    | coda_uniattn |   batch 6100 | loss 0.9486 | grad 2.2011 | lr 1.35e-05 | GPU 0.77 GB
2026-04-11 17:57:57 | DEBUG    | coda_uniattn |   batch 6150 | loss 0.5004 | grad 1.8181 | lr 1.37e-05 | GPU 0.77 GB
2026-04-11 17:57:59 | DEBUG    | coda_uniattn |   batch 6200 | loss 1.2499 | grad 2.0061 | lr 1.38e-05 | GPU 0.77 GB
2026-04-11 17:58:01 | DEBUG    | coda_uniattn |   batch 6250 | loss 0.7354 | grad 2.3980 | lr 1.40e-05 | GPU 0.77 GB
2026-04-11 17:58:02 | DEBUG    | coda_uniattn |   batch 6300 | loss 0.6897 | grad 2.0838 | lr 1.41e-05 | GPU 0.78 GB
2026-04-11 17:58:04 | DEBUG    | coda_uniattn |   batch 6350 | loss 1.0689 | grad 2.2950 | lr 1.43e-05 | GPU 0.77 GB
2026-04-11 17:58:05 | DEBUG    | coda_uniattn |   batch 6400 | loss 0.5208 | grad 2.0477 | lr 1.44e-05 | GPU 0.77 GB
2026-04-11 17:58:07 | DEBUG    | coda_uniattn |   batch 6450 | loss 0.8712 | grad 2.1597 | lr 1.46e-05 | GPU 0.77 GB
2026-04-11 17:58:08 | DEBUG    | coda_uniattn |   batch 6500 | loss 0.4280 | grad 2.0196 | lr 1.48e-05 | GPU 0.77 GB
2026-04-11 17:58:10 | DEBUG    | coda_uniattn |   batch 6550 | loss 0.5415 | grad 2.3093 | lr 1.49e-05 | GPU 0.78 GB
2026-04-11 17:58:11 | DEBUG    | coda_uniattn |   batch 6600 | loss 1.0059 | grad 2.2045 | lr 1.51e-05 | GPU 0.78 GB
2026-04-11 17:58:13 | DEBUG    | coda_uniattn |   batch 6650 | loss 0.9088 | grad 2.2807 | lr 1.52e-05 | GPU 0.78 GB
2026-04-11 17:58:14 | DEBUG    | coda_uniattn |   batch 6700 | loss 0.4956 | grad 2.0974 | lr 1.54e-05 | GPU 0.77 GB
2026-04-11 17:58:16 | DEBUG    | coda_uniattn |   batch 6750 | loss 1.3710 | grad 2.2726 | lr 1.56e-05 | GPU 0.78 GB
2026-04-11 17:58:17 | DEBUG    | coda_uniattn |   batch 6800 | loss 0.7818 | grad 2.1436 | lr 1.57e-05 | GPU 0.77 GB
2026-04-11 17:58:19 | DEBUG    | coda_uniattn |   batch 6850 | loss 0.6095 | grad 1.9995 | lr 1.59e-05 | GPU 0.78 GB
2026-04-11 17:58:20 | DEBUG    | coda_uniattn |   batch 6900 | loss 0.7548 | grad 2.2189 | lr 1.61e-05 | GPU 0.77 GB
2026-04-11 17:58:22 | DEBUG    | coda_uniattn |   batch 6950 | loss 0.7038 | grad 2.2723 | lr 1.62e-05 | GPU 0.77 GB
2026-04-11 17:58:24 | DEBUG    | coda_uniattn |   batch 7000 | loss 0.7107 | grad 2.0789 | lr 1.64e-05 | GPU 0.78 GB
2026-04-11 17:58:25 | DEBUG    | coda_uniattn |   batch 7050 | loss 1.3419 | grad 2.3478 | lr 1.66e-05 | GPU 0.77 GB
2026-04-11 17:58:27 | DEBUG    | coda_uniattn |   batch 7100 | loss 0.7999 | grad 2.3666 | lr 1.67e-05 | GPU 0.77 GB
2026-04-11 17:58:28 | DEBUG    | coda_uniattn |   batch 7150 | loss 0.5344 | grad 1.9218 | lr 1.69e-05 | GPU 0.77 GB
2026-04-11 17:58:30 | DEBUG    | coda_uniattn |   batch 7200 | loss 0.5185 | grad 2.3292 | lr 1.71e-05 | GPU 0.77 GB
2026-04-11 17:58:31 | DEBUG    | coda_uniattn |   batch 7250 | loss 0.9270 | grad 2.1491 | lr 1.73e-05 | GPU 0.77 GB
2026-04-11 17:58:33 | DEBUG    | coda_uniattn |   batch 7300 | loss 0.6870 | grad 2.3016 | lr 1.74e-05 | GPU 0.77 GB
2026-04-11 17:58:34 | DEBUG    | coda_uniattn |   batch 7350 | loss 1.1975 | grad 2.3138 | lr 1.76e-05 | GPU 0.77 GB
2026-04-11 17:58:36 | DEBUG    | coda_uniattn |   batch 7400 | loss 0.3976 | grad 2.2310 | lr 1.78e-05 | GPU 0.77 GB
2026-04-11 17:58:37 | DEBUG    | coda_uniattn |   batch 7450 | loss 0.7524 | grad 2.4127 | lr 1.80e-05 | GPU 0.77 GB
2026-04-11 17:58:39 | DEBUG    | coda_uniattn |   batch 7500 | loss 0.8937 | grad 2.3559 | lr 1.81e-05 | GPU 0.77 GB
2026-04-11 17:58:40 | DEBUG    | coda_uniattn |   batch 7550 | loss 0.7297 | grad 2.3082 | lr 1.83e-05 | GPU 0.77 GB
2026-04-11 17:58:42 | DEBUG    | coda_uniattn |   batch 7600 | loss 0.6968 | grad 2.2169 | lr 1.85e-05 | GPU 0.77 GB
2026-04-11 17:58:44 | DEBUG    | coda_uniattn |   batch 7650 | loss 0.8368 | grad 2.4614 | lr 1.87e-05 | GPU 0.78 GB
2026-04-11 17:58:45 | DEBUG    | coda_uniattn |   batch 7700 | loss 0.9378 | grad 2.3819 | lr 1.89e-05 | GPU 0.77 GB
2026-04-11 17:58:47 | DEBUG    | coda_uniattn |   batch 7750 | loss 0.8526 | grad 2.3767 | lr 1.90e-05 | GPU 0.77 GB
