2026-04-12 02:51:31 | INFO     | coda_full | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-12_02-51-31_coda_full.log
2026-04-12 02:51:31 | INFO     | coda_full | ============================================================
2026-04-12 02:51:31 | INFO     | coda_full | Training: CODA-FULL
2026-04-12 02:51:31 | INFO     | coda_full | Device: cuda | Seed: 42 | Dry run: False
2026-04-12 02:51:31 | INFO     | coda_full | Epochs: 30 | Batch: 16 | LR: 1.00e-04
2026-04-12 02:51:31 | INFO     | coda_full | Freeze BERT: True | Prosodic: True | AMP: True
2026-04-12 02:51:31 | INFO     | coda_full | ============================================================
2026-04-12 02:51:35 | INFO     | coda_full | Dataset: 179590 samples
2026-04-12 03:09:04 | DEBUG    | coda_full |   batch 5650 | loss 0.9331 | grad 3.2489 | lr 1.22e-05 | GPU 0.80 GB
2026-04-12 03:09:13 | DEBUG    | coda_full |   batch 5700 | loss 0.7810 | grad 3.1607 | lr 1.23e-05 | GPU 0.80 GB
2026-04-12 03:09:21 | DEBUG    | coda_full |   batch 5750 | loss 0.9213 | grad 3.3084 | lr 1.25e-05 | GPU 0.80 GB
2026-04-12 03:09:29 | DEBUG    | coda_full |   batch 5800 | loss 1.0646 | grad 3.1517 | lr 1.26e-05 | GPU 0.80 GB
2026-04-12 03:09:37 | DEBUG    | coda_full |   batch 5850 | loss 1.0186 | grad 2.2446 | lr 1.28e-05 | GPU 0.80 GB
2026-04-12 03:09:45 | DEBUG    | coda_full |   batch 5900 | loss 0.8948 | grad 3.6079 | lr 1.29e-05 | GPU 0.80 GB
2026-04-12 03:09:53 | DEBUG    | coda_full |   batch 5950 | loss 0.3504 | grad 2.7569 | lr 1.31e-05 | GPU 0.80 GB
2026-04-12 03:10:01 | DEBUG    | coda_full |   batch 6000 | loss 0.8723 | grad 2.7758 | lr 1.32e-05 | GPU 0.80 GB
2026-04-12 03:10:09 | DEBUG    | coda_full |   batch 6050 | loss 0.7757 | grad 2.8056 | lr 1.34e-05 | GPU 0.81 GB
2026-04-12 03:10:17 | DEBUG    | coda_full |   batch 6100 | loss 0.4985 | grad 2.5542 | lr 1.35e-05 | GPU 0.80 GB
2026-04-12 03:10:26 | DEBUG    | coda_full |   batch 6150 | loss 1.3755 | grad 3.2907 | lr 1.37e-05 | GPU 0.80 GB
2026-04-12 03:10:34 | DEBUG    | coda_full |   batch 6200 | loss 0.7428 | grad 2.6659 | lr 1.38e-05 | GPU 0.80 GB
2026-04-12 03:10:42 | DEBUG    | coda_full |   batch 6250 | loss 0.8759 | grad 3.3854 | lr 1.40e-05 | GPU 0.81 GB
2026-04-12 03:10:50 | DEBUG    | coda_full |   batch 6300 | loss 1.0251 | grad 3.8142 | lr 1.41e-05 | GPU 0.80 GB
2026-04-12 03:10:58 | DEBUG    | coda_full |   batch 6350 | loss 0.4776 | grad 2.7306 | lr 1.43e-05 | GPU 0.80 GB
2026-04-12 03:11:06 | DEBUG    | coda_full |   batch 6400 | loss 0.6480 | grad 3.1789 | lr 1.44e-05 | GPU 0.80 GB
2026-04-12 03:11:14 | DEBUG    | coda_full |   batch 6450 | loss 0.9320 | grad 3.1260 | lr 1.46e-05 | GPU 0.81 GB
2026-04-12 03:11:22 | DEBUG    | coda_full |   batch 6500 | loss 0.6064 | grad 3.0197 | lr 1.48e-05 | GPU 0.81 GB
2026-04-12 03:11:30 | DEBUG    | coda_full |   batch 6550 | loss 0.8101 | grad 2.6169 | lr 1.49e-05 | GPU 0.80 GB
2026-04-12 03:11:39 | DEBUG    | coda_full |   batch 6600 | loss 0.2651 | grad 2.3704 | lr 1.51e-05 | GPU 0.80 GB
2026-04-12 03:11:47 | DEBUG    | coda_full |   batch 6650 | loss 1.2501 | grad 2.6866 | lr 1.52e-05 | GPU 0.80 GB
2026-04-12 03:11:55 | DEBUG    | coda_full |   batch 6700 | loss 0.7829 | grad 2.8384 | lr 1.54e-05 | GPU 0.80 GB
2026-04-12 03:12:03 | DEBUG    | coda_full |   batch 6750 | loss 0.5410 | grad 3.0380 | lr 1.56e-05 | GPU 0.80 GB
2026-04-12 03:12:11 | DEBUG    | coda_full |   batch 6800 | loss 0.8140 | grad 2.2853 | lr 1.57e-05 | GPU 0.80 GB
2026-04-12 03:12:19 | DEBUG    | coda_full |   batch 6850 | loss 0.4088 | grad 2.5840 | lr 1.59e-05 | GPU 0.81 GB
2026-04-12 03:12:28 | DEBUG    | coda_full |   batch 6900 | loss 0.7595 | grad 2.3036 | lr 1.61e-05 | GPU 0.80 GB
2026-04-12 03:12:36 | DEBUG    | coda_full |   batch 6950 | loss 0.4634 | grad 2.8082 | lr 1.62e-05 | GPU 0.80 GB
2026-04-12 03:12:44 | DEBUG    | coda_full |   batch 7000 | loss 0.5457 | grad 2.9316 | lr 1.64e-05 | GPU 0.80 GB
2026-04-12 03:12:52 | DEBUG    | coda_full |   batch 7050 | loss 1.3042 | grad 3.3504 | lr 1.66e-05 | GPU 0.81 GB
2026-04-12 03:13:00 | DEBUG    | coda_full |   batch 7100 | loss 1.1259 | grad 2.8111 | lr 1.67e-05 | GPU 0.81 GB
