2026-04-11 19:20:57 | INFO     | coda_biattn | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-11_19-20-57_coda_biattn.log
2026-04-11 19:20:57 | INFO     | coda_biattn | ============================================================
2026-04-11 19:20:57 | INFO     | coda_biattn | Training: CODA-BIATTN
2026-04-11 19:20:57 | INFO     | coda_biattn | Device: cuda | Seed: 42 | Dry run: False
2026-04-11 19:20:57 | INFO     | coda_biattn | Epochs: 30 | Batch: 16 | LR: 1.00e-04
2026-04-11 19:20:57 | INFO     | coda_biattn | Freeze BERT: True | Prosodic: True | AMP: True
2026-04-11 19:20:57 | INFO     | coda_biattn | ============================================================
2026-04-11 19:21:01 | INFO     | coda_biattn | Dataset: 179590 samples
2026-04-11 19:26:10 | DEBUG    | coda_biattn |   batch 5050 | loss 0.4901 | grad 1.9421 | lr 1.06e-05 | GPU 0.79 GB
2026-04-11 19:26:12 | DEBUG    | coda_biattn |   batch 5100 | loss 1.0641 | grad 2.0185 | lr 1.07e-05 | GPU 0.78 GB
2026-04-11 19:26:14 | DEBUG    | coda_biattn |   batch 5150 | loss 0.9261 | grad 1.7862 | lr 1.09e-05 | GPU 0.79 GB
2026-04-11 19:26:16 | DEBUG    | coda_biattn |   batch 5200 | loss 1.2376 | grad 1.7849 | lr 1.10e-05 | GPU 0.79 GB
2026-04-11 19:26:18 | DEBUG    | coda_biattn |   batch 5250 | loss 0.5744 | grad 1.7915 | lr 1.11e-05 | GPU 0.79 GB
2026-04-11 19:26:20 | DEBUG    | coda_biattn |   batch 5300 | loss 0.8960 | grad 1.9088 | lr 1.12e-05 | GPU 0.79 GB
2026-04-11 19:26:21 | DEBUG    | coda_biattn |   batch 5350 | loss 1.0816 | grad 1.9728 | lr 1.14e-05 | GPU 0.78 GB
2026-04-11 19:26:23 | DEBUG    | coda_biattn |   batch 5400 | loss 0.7206 | grad 1.7813 | lr 1.15e-05 | GPU 0.79 GB
2026-04-11 19:26:25 | DEBUG    | coda_biattn |   batch 5450 | loss 0.9013 | grad 1.9020 | lr 1.17e-05 | GPU 0.79 GB
2026-04-11 19:26:27 | DEBUG    | coda_biattn |   batch 5500 | loss 0.6082 | grad 1.8306 | lr 1.18e-05 | GPU 0.79 GB
2026-04-11 19:26:29 | DEBUG    | coda_biattn |   batch 5550 | loss 0.9055 | grad 1.8827 | lr 1.19e-05 | GPU 0.79 GB
2026-04-11 19:26:30 | DEBUG    | coda_biattn |   batch 5600 | loss 0.8740 | grad 1.7831 | lr 1.21e-05 | GPU 0.79 GB
2026-04-11 19:26:32 | DEBUG    | coda_biattn |   batch 5650 | loss 0.5336 | grad 1.9156 | lr 1.22e-05 | GPU 0.79 GB
2026-04-11 19:26:34 | DEBUG    | coda_biattn |   batch 5700 | loss 0.6248 | grad 1.8670 | lr 1.23e-05 | GPU 0.78 GB
2026-04-11 19:26:36 | DEBUG    | coda_biattn |   batch 5750 | loss 1.2130 | grad 1.7820 | lr 1.25e-05 | GPU 0.79 GB
2026-04-11 19:26:38 | DEBUG    | coda_biattn |   batch 5800 | loss 0.7682 | grad 2.1569 | lr 1.26e-05 | GPU 0.79 GB
2026-04-11 19:26:39 | DEBUG    | coda_biattn |   batch 5850 | loss 0.6257 | grad 1.9792 | lr 1.28e-05 | GPU 0.78 GB
2026-04-11 19:26:41 | DEBUG    | coda_biattn |   batch 5900 | loss 0.7544 | grad 2.0156 | lr 1.29e-05 | GPU 0.78 GB
2026-04-11 19:26:43 | DEBUG    | coda_biattn |   batch 5950 | loss 0.7693 | grad 1.7977 | lr 1.31e-05 | GPU 0.78 GB
2026-04-11 19:26:45 | DEBUG    | coda_biattn |   batch 6000 | loss 0.6968 | grad 2.0252 | lr 1.32e-05 | GPU 0.78 GB
2026-04-11 19:26:47 | DEBUG    | coda_biattn |   batch 6050 | loss 0.6341 | grad 2.0162 | lr 1.34e-05 | GPU 0.78 GB
2026-04-11 19:26:48 | DEBUG    | coda_biattn |   batch 6100 | loss 0.8907 | grad 2.0957 | lr 1.35e-05 | GPU 0.79 GB
2026-04-11 19:26:50 | DEBUG    | coda_biattn |   batch 6150 | loss 0.4688 | grad 2.0110 | lr 1.37e-05 | GPU 0.78 GB
2026-04-11 19:26:52 | DEBUG    | coda_biattn |   batch 6200 | loss 0.6998 | grad 2.1301 | lr 1.38e-05 | GPU 0.79 GB
2026-04-11 19:26:54 | DEBUG    | coda_biattn |   batch 6250 | loss 0.5441 | grad 2.0708 | lr 1.40e-05 | GPU 0.79 GB
2026-04-11 19:26:56 | DEBUG    | coda_biattn |   batch 6300 | loss 0.7821 | grad 2.0523 | lr 1.41e-05 | GPU 0.79 GB
2026-04-11 19:26:58 | DEBUG    | coda_biattn |   batch 6350 | loss 0.5985 | grad 2.1789 | lr 1.43e-05 | GPU 0.78 GB
2026-04-11 19:26:59 | DEBUG    | coda_biattn |   batch 6400 | loss 0.5580 | grad 1.9575 | lr 1.44e-05 | GPU 0.79 GB
2026-04-11 19:27:01 | DEBUG    | coda_biattn |   batch 6450 | loss 1.0117 | grad 1.8157 | lr 1.46e-05 | GPU 0.79 GB
2026-04-11 19:27:03 | DEBUG    | coda_biattn |   batch 6500 | loss 1.3217 | grad 1.9309 | lr 1.48e-05 | GPU 0.78 GB
2026-04-11 19:27:05 | DEBUG    | coda_biattn |   batch 6550 | loss 0.5492 | grad 1.9283 | lr 1.49e-05 | GPU 0.78 GB
2026-04-11 19:27:07 | DEBUG    | coda_biattn |   batch 6600 | loss 0.6157 | grad 2.0070 | lr 1.51e-05 | GPU 0.79 GB
2026-04-11 19:27:08 | DEBUG    | coda_biattn |   batch 6650 | loss 0.6751 | grad 2.1607 | lr 1.52e-05 | GPU 0.78 GB
2026-04-11 19:27:10 | DEBUG    | coda_biattn |   batch 6700 | loss 0.9771 | grad 2.3019 | lr 1.54e-05 | GPU 0.79 GB
